"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Brownsover Medical Centre</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.","warning","<a href=\"https://www.brownsovermedicalcentre.nhs.uk/\">Brownsover Medical Centre</a>","html > body > div:nth-child(1) > header > div > div:nth-child(1) > p:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.brownsovermedicalcentre.nhs.uk/\">Brownsover Medical Centre</a>","html > body > div:nth-child(1) > header > div > div:nth-child(1) > p:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<p class=\"site-description\" itemprop=\"description\">Part of the Spirit Primary Care...</p>","html > body > div:nth-child(1) > header > div > div:nth-child(1) > p:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.brownsovermedicalcentre.nhs.uk/clinics-and-services/\" itemprop=\"url\"><span itemprop=\"name\">Clinics a...</a>","#menu-item-1674 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.brownsovermedicalcentre.nhs.uk/clinics-and-services/clinics/\" itemprop=\"url\"><span itemprop=\"name\">Our Clini...</a>","#menu-item-1266 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.brownsovermedicalcentre.nhs.uk/clinics-and-services/appointments-with-the-doctors/\" itemprop=\"url\"><span itemprop=\"name\">Making an...</a>","#menu-item-1245 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.brownsovermedicalcentre.nhs.uk/clinics-and-services/repeat-prescription-requests/\" itemprop=\"url\"><span itemprop=\"name\">Repeat Pr...</a>","#menu-item-1246 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.brownsovermedicalcentre.nhs.uk/clinics-and-services/house-calls/\" itemprop=\"url\"><span itemprop=\"name\">Home Visi...</a>","#menu-item-1247 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.brownsovermedicalcentre.nhs.uk/clinics-and-services/results-of-tests-and-copy-requests/\" itemprop=\"url\"><span itemprop=\"name\">Results o...</a>","#menu-item-1248 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.brownsovermedicalcentre.nhs.uk/clinics-and-services/vaccination-information/\" itemprop=\"url\"><span itemprop=\"name\">Vaccinati...</a>","#menu-item-1249 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.brownsovermedicalcentre.nhs.uk/clinics-and-services/private-fees/\" itemprop=\"url\"><span itemprop=\"name\">Private F...</a>","#menu-item-1742 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.brownsovermedicalcentre.nhs.uk/clinics-and-services/out-of-hours-emergency/\" itemprop=\"url\"><span itemprop=\"name\">Out of Ho...</a>","#menu-item-1251 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.brownsovermedicalcentre.nhs.uk/clinics-and-services/non-nhs-services/\" itemprop=\"url\"><span itemprop=\"name\">Non-NHS S...</a>","#menu-item-1701 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.brownsovermedicalcentre.nhs.uk/clinics-and-services/sickness-certificates/\" itemprop=\"url\"><span itemprop=\"name\">Sickness ...</a>","#menu-item-1252 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.brownsovermedicalcentre.nhs.uk/the-practice/\" itemprop=\"url\"><span itemprop=\"name\">The Pract...</a>","#menu-item-1676 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.brownsovermedicalcentre.nhs.uk/the-practice/registering-with-the-practice/\" itemprop=\"url\"><span itemprop=\"name\">Registeri...</a>","#menu-item-1260 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.brownsovermedicalcentre.nhs.uk/the-practice/friends-and-family-test/\" itemprop=\"url\"><span itemprop=\"name\">Friends a...</a>","#menu-item-1861 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.brownsovermedicalcentre.nhs.uk/the-practice/gdpranddataprotection/\" itemprop=\"url\"><span itemprop=\"name\">GDPR and ...</a>","#menu-item-1771 > a"
