"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Pioneer Medical Group - Pioneer...</title>","html > head > title"
"WCAG2AAA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","error","<iframe id=\":2.container\" class=\"goog-te-banner-frame skiptranslate\" frameborder=\"0\" src=\"javascript:''\" style=\"visibility:visible\"></iframe>","#:2.container"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/\">\n\t\t<img src=\"/uploads/7/1/4/1/7...</a>","#sitename > span > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"/uploads/7/1/4/1/71417909/published/pioneer-medical-group-final-logo-eddins-jpeg.jpg?1518896207\" alt=\"Pioneer Medical Group\">","#sitename > span > a > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"/uploads/7/1/4/1/71417909/published/pioneer-medical-group-final-logo-eddins-jpeg.jpg?1518896207\" alt=\"Pioneer Medical Group\">","#sitename > span > a > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.28:1. Recommendation: change text colour to #595959.","error","<a href=\"/locations.html\" class=\"wsite-menu-item\" style=\"position: relative;\">\n\t\t\t\tLOCATIONS\n\t\t\t</a>","#pg723033165243386183 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/locations.html\" class=\"wsite-menu-item\" style=\"position: relative;\">\n\t\t\t\tLOCATIONS\n\t\t\t</a>","#pg723033165243386183 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.28:1. Recommendation: change text colour to #595959.","error","<a class=\"wsite-menu-item\" style=\"position: relative;\">\n\t\t\t\tSELF CARE\n\t\t\t</a>","#pg724318838894943690 > a"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.Placeholder","Anchor element found with link content, but no href, ID or name attribute has been supplied.","warning","<a class=\"wsite-menu-item\" style=\"position: relative;\">\n\t\t\t\tSELF CARE\n\t\t\t</a>","#pg724318838894943690 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"wsite-menu-item\" style=\"position: relative;\">\n\t\t\t\tSELF CARE\n\t\t\t</a>","#pg724318838894943690 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.28:1. Recommendation: change text colour to #595959.","error","<a class=\"wsite-menu-item\" style=\"position: relative;\">\n\t\t\t\tFAQs\n\t\t\t</a>","#pg589514677749573860 > a"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.Placeholder","Anchor element found with link content, but no href, ID or name attribute has been supplied.","warning","<a class=\"wsite-menu-item\" style=\"position: relative;\">\n\t\t\t\tFAQs\n\t\t\t</a>","#pg589514677749573860 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"wsite-menu-item\" style=\"position: relative;\">\n\t\t\t\tFAQs\n\t\t\t</a>","#pg589514677749573860 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.28:1. Recommendation: change text colour to #595959.","error","<a class=\"wsite-menu-item\" style=\"position: relative;\">\n\t\t\t\tSERVICES\n\t\t\t</a>","#pg624971972555251177 > a"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.Placeholder","Anchor element found with link content, but no href, ID or name attribute has been supplied.","warning","<a class=\"wsite-menu-item\" style=\"position: relative;\">\n\t\t\t\tSERVICES\n\t\t\t</a>","#pg624971972555251177 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"wsite-menu-item\" style=\"position: relative;\">\n\t\t\t\tSERVICES\n\t\t\t</a>","#pg624971972555251177 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.28:1. Recommendation: change text colour to #595959.","error","<a href=\"/conditions.html\" class=\"wsite-menu-item\" style=\"position: relative;\">\n\t\t\t\tCONDITIONS\n\t\t\t</a>","#pg217177087326094135 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/conditions.html\" class=\"wsite-menu-item\" style=\"position: relative;\">\n\t\t\t\tCONDITIONS\n\t\t\t</a>","#pg217177087326094135 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.28:1. Recommendation: change text colour to #595959.","error","<a class=\"wsite-menu-item\" style=\"position: relative;\">\n\t\t\t\tSTAFF\n\t\t\t</a>","#pg565294708820975596 > a"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.Placeholder","Anchor element found with link content, but no href, ID or name attribute has been supplied.","warning","<a class=\"wsite-menu-item\" style=\"position: relative;\">\n\t\t\t\tSTAFF\n\t\t\t</a>","#pg565294708820975596 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"wsite-menu-item\" style=\"position: relative;\">\n\t\t\t\tSTAFF\n\t\t\t</a>","#pg565294708820975596 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.28:1. Recommendation: change text colour to #595959.","error","<a href=\"/community.html\" class=\"wsite-menu-item\" style=\"position: relative;\">\n\t\t\t\tCOMMUNITY\n\t\t\t</a>","#pg519280311481908351 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/community.html\" class=\"wsite-menu-item\" style=\"position: relative;\">\n\t\t\t\tCOMMUNITY\n\t\t\t</a>","#pg519280311481908351 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.28:1. Recommendation: change text colour to #595959.","error","<a href=\"/feedback.html\" class=\"wsite-menu-item\" style=\"position: relative;\">\n\t\t\t\tFEEDBACK\n\t\t\t</a>","#pg755511091220013757 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/feedback.html\" class=\"wsite-menu-item\" style=\"position: relative;\">\n\t\t\t\tFEEDBACK\n\t\t\t</a>","#pg755511091220013757 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.28:1. Recommendation: change text colour to #595959.","error","<a href=\"/contact.html\" class=\"wsite-menu-item\" style=\"position: relative;\">\n\t\t\t\tCONTACT\n\t\t\t</a>","#pg788658999347179044 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/contact.html\" class=\"wsite-menu-item\" style=\"position: relative;\">\n\t\t\t\tCONTACT\n\t\t\t</a>","#pg788658999347179044 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<div class=\"wsite-section wsite-header-section wsite-section-bg-image\" style=\"vertical-align: middle;background-image: url(&quot;/uploads/7/1/4/1/71417909/background-images/1700031351.jpg&quot;) ;background-repeat: no-repeat ;background-position: 100...","#wrapper > div:nth-child(1) > div:nth-child(2) > div > div > div"
