"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Welcome to The Albany Practice ...</title>","html > head > title"
"WCAG2AAA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","error","<iframe id=\":1.container\" class=\"goog-te-banner-frame skiptranslate\" frameborder=\"0\" src=\"javascript:''\" style=\"visibility:visible\"></iframe>","#:1.container"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.Empty","Anchor element found with an ID but without a href or link text. Consider moving its ID to a parent or nearby element.","warning","<a id=\"PageTop\">\n</a>","#PageTop"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a id=\"PageTop\">\n</a>","#PageTop"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<div id=\"CookieInfo\" style=\"display:none;position:absolute;height:20px;width:978px;text-align:center;overflow:hidden;font-size:14px;background-color:white;margin-right:200px;\">Warning!!! Warning!!! Cookies a...</div>","#CookieInfo"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<noscript>\n\t\t\t&lt;div style=\"position:abs...</noscript>","#HeaderFlash > noscript"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"navlink\" href=\"/\"><img src=\"images/layout/transpa...</a>","#HeaderBarLeftHomePageLink > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"images/layout/transparent.png\" style=\"display:block;\" width=\"100%\" height=\"100%\" alt=\"The Albany Practice are a forward thinking and compassionate team who take pride in delivering quality healthcare in a trusting and supportive environment...","#HeaderBarLeftHomePageLink > a > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"images/layout/transparent.png\" style=\"display:block;\" width=\"100%\" height=\"100%\" alt=\"The Albany Practice are a forward thinking and compassionate team who take pride in delivering quality healthcare in a trusting and supportive environment...","#HeaderBarLeftHomePageLink > a > img"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"navlink\" href=\"/\"><img src=\"images/layout/transpa...</a>","#HeaderBarRightHomePageLink > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"images/layout/transparent.png\" style=\"display:block;\" width=\"100%\" height=\"100%\" alt=\"The Albany Practice are a forward thinking and compassionate team who take pride in delivering quality healthcare in a trusting and supportive environment...","#HeaderBarRightHomePageLink > a > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"images/layout/transparent.png\" style=\"display:block;\" width=\"100%\" height=\"100%\" alt=\"The Albany Practice are a forward thinking and compassionate team who take pride in delivering quality healthcare in a trusting and supportive environment...","#HeaderBarRightHomePageLink > a > img"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1_AAA.G141","The heading structure is not logically nested. This h2 element appears to be the primary document heading, so should be an h1 element.","error","<h2><a class=\"TopMenuImageSwapper\" ...</h2>","#TopMenuBar > ul:nth-child(1) > li > h2"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"TopMenuImageSwapper\" href=\"/\"><span class=\"Hidden\">\n<img src=...</a>","#TopMenuBar > ul:nth-child(1) > li > h2 > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img src=\"images/layout/MenuImage/TopMenuImage-13-hover.png\" alt=\"\" title=\"\">","#TopMenuBar > ul:nth-child(1) > li > h2 > a > span > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"images/layout/MenuImage/TopMenuImage-13-hover.png\" alt=\"\" title=\"\">","#TopMenuBar > ul:nth-child(1) > li > h2 > a > span > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img class=\"TopMenuImageSwapper\" id=\"TopMenuImage133085\" src=\"images/layout/MenuImage/TopMenuImage-13.png\" alt=\"Home Page\" title=\"Home Page\" onmouseover=\"swap('TopMenuImage133085','images/layout/MenuImage/TopMenuImage-13-hover.png');\" onmouseout=\"swa...","#TopMenuImage133085"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOver","Ensure the functionality provided by mousing over this element is available through the keyboard; for instance, using the focus event.","warning","<img class=\"TopMenuImageSwapper\" id=\"TopMenuImage133085\" src=\"images/layout/MenuImage/TopMenuImage-13.png\" alt=\"Home Page\" title=\"Home Page\" onmouseover=\"swap('TopMenuImage133085','images/layout/MenuImage/TopMenuImage-13-hover.png');\" onmouseout=\"swa...","#TopMenuImage133085"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOut","Ensure the functionality provided by mousing out of this element is available through the keyboard; for instance, using the blur event.","warning","<img class=\"TopMenuImageSwapper\" id=\"TopMenuImage133085\" src=\"images/layout/MenuImage/TopMenuImage-13.png\" alt=\"Home Page\" title=\"Home Page\" onmouseover=\"swap('TopMenuImage133085','images/layout/MenuImage/TopMenuImage-13-hover.png');\" onmouseout=\"swa...","#TopMenuImage133085"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"TopMenuImageSwapper\" id=\"TopMenuImage133085\" src=\"images/layout/MenuImage/TopMenuImage-13.png\" alt=\"Home Page\" title=\"Home Page\" onmouseover=\"swap('TopMenuImage133085','images/layout/MenuImage/TopMenuImage-13-hover.png');\" onmouseout=\"swa...","#TopMenuImage133085"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"navlink\" href=\"privacy.php?Action=Privacy\" title=\"Privacy\">Privacy &amp; Cookies</a>","#TopMenuBar > ul:nth-child(1) > li > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"navlink\" href=\"sitemap.php?Action=Sitemap\" title=\"Site Map\">Site Map</a>","#TopMenuBar > ul:nth-child(1) > li > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"TopMenuImageSwapper\" href=\"ourservices.php?Action=Ourservices\"><span class=\"Hidden\">\n<img src=...</a>","#TopMenuBar > ul:nth-child(2) > li > h2 > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img src=\"images/layout/MenuImage/TopMenuImage-149-hover.png\" alt=\"\" title=\"\">","#TopMenuBar > ul:nth-child(2) > li > h2 > a > span > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"images/layout/MenuImage/TopMenuImage-149-hover.png\" alt=\"\" title=\"\">","#TopMenuBar > ul:nth-child(2) > li > h2 > a > span > img"
